season,date_code,weekending,region,Respiratory_Virus,Number_Positive,Specimens_Tested,Percent_Positive
2012-2013,201252,12/29/12,California,Total_Influenza,147,1791,8.21
2012-2013,201252,12/29/12,California,RSV,538,1758,30.60
2012-2013,201252,12/29/12,Central,Influenza_A,14,343,4.08
2012-2013,201252,12/29/12,Central,Influenza_B,6,343,1.75
2012-2013,201252,12/29/12,Central,Total_Influenza,20,343,5.83
2012-2013,201252,12/29/12,Central,RSV,165,364,45.33
2012-2013,201252,12/29/12,Lower Southern,Influenza_A,10,144,6.94
2012-2013,201252,12/29/12,Lower Southern,Influenza_B,2,144,1.39
2012-2013,201252,12/29/12,Lower Southern,Total_Influenza,12,144,8.33
2012-2013,201252,12/29/12,Lower Southern,RSV,42,115,36.52
2012-2013,201252,12/29/12,Northern,Influenza_A,8,117,6.84
2012-2013,201252,12/29/12,Northern,Influenza_B,0,117,0.00
2012-2013,201252,12/29/12,Northern,Total_Influenza,8,117,6.84
2012-2013,201252,12/29/12,Northern,RSV,37,117,31.62
2012-2013,201252,12/29/12,Upper Southern,Influenza_A,5,78,6.41
2012-2013,201252,12/29/12,Upper Southern,Influenza_B,1,78,1.28
2012-2013,201252,12/29/12,Upper Southern,Total_Influenza,6,78,7.69
2012-2013,201252,12/29/12,Upper Southern,RSV,10,78,12.82
2012-2013,201252,12/29/12,Upper/Lower Southern,Influenza_A,18,266,6.77
2012-2013,201252,12/29/12,Upper/Lower Southern,Influenza_B,4,266,1.50
2012-2013,201252,12/29/12,Upper/Lower Southern,Total_Influenza,22,266,8.27
2012-2013,201252,12/29/12,Upper/Lower Southern,RSV,89,266,33.46
2012-2013,201301,01/05/13,Bay Area,Influenza_A,153,1139,13.43
2012-2013,201301,01/05/13,Bay Area,Influenza_B,15,1139,1.32
2012-2013,201301,01/05/13,Bay Area,Total_Influenza,168,1139,14.75
2012-2013,201301,01/05/13,Bay Area,RSV,277,1110,24.95
2012-2013,201301,01/05/13,California,Influenza_A,244,2416,10.10
2012-2013,201301,01/05/13,California,Influenza_B,41,2416,1.70
2012-2013,201301,01/05/13,California,Total_Influenza,285,2416,11.80
2012-2013,201301,01/05/13,California,RSV,732,2322,31.52
2012-2013,201301,01/05/13,Central,Influenza_A,33,476,6.93
2012-2013,201301,01/05/13,Central,Influenza_B,3,476,0.63
2012-2013,201301,01/05/13,Central,Total_Influenza,36,476,7.56
2012-2013,201301,01/05/13,Central,RSV,216,460,46.96
2012-2013,201301,01/05/13,Lower Southern,Influenza_A,13,164,7.93
2012-2013,201301,01/05/13,Lower Southern,Influenza_B,6,164,3.66
2012-2013,201301,01/05/13,Lower Southern,Total_Influenza,19,164,11.59
2012-2013,201301,01/05/13,Lower Southern,RSV,47,115,40.87
2012-2013,201301,01/05/13,Northern,Influenza_A,13,200,6.50
2012-2013,201301,01/05/13,Northern,Influenza_B,8,200,4.00
2012-2013,201301,01/05/13,Northern,Total_Influenza,21,200,10.50
2012-2013,201301,01/05/13,Northern,RSV,67,200,33.50
2012-2013,201301,01/05/13,Upper Southern,Influenza_A,4,130,3.08
2012-2013,201301,01/05/13,Upper Southern,Influenza_B,1,130,0.77
2012-2013,201301,01/05/13,Upper Southern,Total_Influenza,5,130,3.85
2012-2013,201301,01/05/13,Upper Southern,RSV,16,130,12.31
2012-2013,201301,01/05/13,Upper/Lower Southern,Influenza_A,28,307,9.12
2012-2013,201301,01/05/13,Upper/Lower Southern,Influenza_B,8,307,2.61
2012-2013,201301,01/05/13,Upper/Lower Southern,Total_Influenza,36,307,11.73
2012-2013,201301,01/05/13,Upper/Lower Southern,RSV,109,307,35.50
2012-2013,201302,01/12/13,Bay Area,Influenza_A,267,1452,18.39
2012-2013,201302,01/12/13,Bay Area,Influenza_B,34,1452,2.34
2012-2013,201302,01/12/13,Bay Area,Total_Influenza,301,1452,20.73
2012-2013,201302,01/12/13,Bay Area,RSV,289,1406,20.55
2012-2013,201302,01/12/13,California,Influenza_A,421,2921,14.41
2012-2013,201302,01/12/13,California,Influenza_B,73,2921,2.50
2012-2013,201302,01/12/13,California,Total_Influenza,494,2921,16.91
2012-2013,201302,01/12/13,California,RSV,700,2815,24.87
2012-2013,201302,01/12/13,Central,Influenza_A,46,449,10.24
2012-2013,201302,01/12/13,Central,Influenza_B,11,449,2.45
2012-2013,201302,01/12/13,Central,Total_Influenza,57,449,12.69
2012-2013,201302,01/12/13,Central,RSV,198,463,42.76
2012-2013,201302,01/12/13,Lower Southern,Influenza_A,5,148,3.38
2012-2013,201302,01/12/13,Lower Southern,Influenza_B,4,148,2.70
2012-2013,201302,01/12/13,Lower Southern,Total_Influenza,9,148,6.08
2012-2013,201302,01/12/13,Lower Southern,RSV,32,74,43.24
2012-2013,201302,01/12/13,Northern,Influenza_A,37,257,14.40
2012-2013,201302,01/12/13,Northern,Influenza_B,9,257,3.50
2012-2013,201302,01/12/13,Northern,Total_Influenza,46,257,17.90
2012-2013,201302,01/12/13,Northern,RSV,66,257,25.68
2012-2013,201302,01/12/13,Upper Southern,Influenza_A,6,122,4.92
2012-2013,201302,01/12/13,Upper Southern,Influenza_B,2,122,1.64
2012-2013,201302,01/12/13,Upper Southern,Total_Influenza,8,122,6.56
2012-2013,201302,01/12/13,Upper Southern,RSV,24,122,19.67
2012-2013,201302,01/12/13,Upper/Lower Southern,Influenza_A,60,493,12.17
2012-2013,201302,01/12/13,Upper/Lower Southern,Influenza_B,13,493,2.64
2012-2013,201302,01/12/13,Upper/Lower Southern,Total_Influenza,73,493,14.81
2012-2013,201302,01/12/13,Upper/Lower Southern,RSV,91,493,18.46
2012-2013,201303,01/19/13,Bay Area,Influenza_A,332,1528,21.73
2012-2013,201303,01/19/13,Bay Area,Influenza_B,41,1528,2.68
2012-2013,201303,01/19/13,Bay Area,Total_Influenza,373,1528,24.41
2012-2013,201303,01/19/13,Bay Area,RSV,265,1503,17.63
2012-2013,201303,01/19/13,California,Influenza_A,659,3479,18.94
2012-2013,201303,01/19/13,California,Influenza_B,123,3479,3.54
2012-2013,201303,01/19/13,California,Total_Influenza,782,3479,22.48
2012-2013,201303,01/19/13,California,RSV,674,3253,20.72
2012-2013,201303,01/19/13,Central,Influenza_A,67,539,12.43
2012-2013,201303,01/19/13,Central,Influenza_B,20,539,3.71
2012-2013,201303,01/19/13,Central,Total_Influenza,87,539,16.14
2012-2013,201303,01/19/13,Central,RSV,158,473,33.40
2012-2013,201303,01/19/13,Lower Southern,Influenza_A,29,233,12.45
2012-2013,201303,01/19/13,Lower Southern,Influenza_B,8,233,3.43
2012-2013,201303,01/19/13,Lower Southern,Total_Influenza,37,233,15.88
2012-2013,201303,01/19/13,Lower Southern,RSV,40,98,40.82
2012-2013,201303,01/19/13,Northern,Influenza_A,80,357,22.41
2012-2013,201303,01/19/13,Northern,Influenza_B,10,357,2.80
2012-2013,201303,01/19/13,Northern,Total_Influenza,90,357,25.21
2012-2013,201303,01/19/13,Northern,RSV,106,357,29.69
2012-2013,201303,01/19/13,Upper Southern,Influenza_A,38,171,22.22
2012-2013,201303,01/19/13,Upper Southern,Influenza_B,3,171,1.75
2012-2013,201303,01/19/13,Upper Southern,Total_Influenza,41,171,23.98
2012-2013,201303,01/19/13,Upper Southern,RSV,15,171,8.77
2012-2013,201303,01/19/13,Upper/Lower Southern,Influenza_A,113,651,17.36
2012-2013,201303,01/19/13,Upper/Lower Southern,Influenza_B,41,651,6.30
2012-2013,201303,01/19/13,Upper/Lower Southern,Total_Influenza,154,651,23.66
2012-2013,201303,01/19/13,Upper/Lower Southern,RSV,90,651,13.82
2012-2013,201304,01/26/13,Bay Area,Influenza_A,455,1590,28.62
2012-2013,201304,01/26/13,Bay Area,Influenza_B,59,1590,3.71
2012-2013,201304,01/26/13,Bay Area,Total_Influenza,514,1590,32.33
2012-2013,201304,01/26/13,Bay Area,RSV,264,1597,16.53
2012-2013,201304,01/26/13,California,Influenza_A,986,3910,25.22
2012-2013,201304,01/26/13,California,Influenza_B,189,3910,4.83
2012-2013,201304,01/26/13,California,Total_Influenza,1175,3910,30.05
2012-2013,201304,01/26/13,California,RSV,672,3665,18.34
2012-2013,201304,01/26/13,Central,Influenza_A,164,685,23.94
2012-2013,201304,01/26/13,Central,Influenza_B,40,685,5.84
2012-2013,201304,01/26/13,Central,Total_Influenza,204,685,29.78
2012-2013,201304,01/26/13,Central,RSV,180,605,29.75
2012-2013,201304,01/26/13,Lower Southern,Influenza_A,22,275,8.00
2012-2013,201304,01/26/13,Lower Southern,Influenza_B,6,275,2.18
2012-2013,201304,01/26/13,Lower Southern,Total_Influenza,28,275,10.18
2012-2013,201304,01/26/13,Lower Southern,RSV,31,103,30.10
2012-2013,201304,01/26/13,Northern,Influenza_A,97,369,26.29
2012-2013,201304,01/26/13,Northern,Influenza_B,18,369,4.88
2012-2013,201304,01/26/13,Northern,Total_Influenza,115,369,31.17
2012-2013,201304,01/26/13,Northern,RSV,89,369,24.12
2012-2013,201304,01/26/13,Upper Southern,Influenza_A,57,242,23.55
2012-2013,201304,01/26/13,Upper Southern,Influenza_B,5,242,2.07
2012-2013,201304,01/26/13,Upper Southern,Total_Influenza,62,242,25.62
2012-2013,201304,01/26/13,Upper Southern,RSV,22,242,9.09
2012-2013,201304,01/26/13,Upper/Lower Southern,Influenza_A,191,749,25.50
2012-2013,201304,01/26/13,Upper/Lower Southern,Influenza_B,61,749,8.14
2012-2013,201304,01/26/13,Upper/Lower Southern,Total_Influenza,252,749,33.64
2012-2013,201304,01/26/13,Upper/Lower Southern,RSV,86,749,11.48
2012-2013,201305,02/02/13,Bay Area,Influenza_A,368,1389,26.49
2012-2013,201305,02/02/13,Bay Area,Influenza_B,59,1389,4.25
2012-2013,201305,02/02/13,Bay Area,Total_Influenza,427,1389,30.74
2012-2013,201305,02/02/13,Bay Area,RSV,223,1377,16.19
2012-2013,201305,02/02/13,California,Influenza_A,1083,3702,29.25
2012-2013,201305,02/02/13,California,Influenza_B,268,3702,7.24
2012-2013,201305,02/02/13,California,Total_Influenza,1351,3702,36.49
2012-2013,201305,02/02/13,California,RSV,643,3423,18.78
2012-2013,201305,02/02/13,Central,Influenza_A,210,747,28.11
2012-2013,201305,02/02/13,Central,Influenza_B,52,747,6.96
2012-2013,201305,02/02/13,Central,Total_Influenza,262,747,35.07
2012-2013,201305,02/02/13,Central,RSV,169,608,27.80
2012-2013,201305,02/02/13,Lower Southern,Influenza_A,34,241,14.11
2012-2013,201305,02/02/13,Lower Southern,Influenza_B,22,241,9.13
2012-2013,201305,02/02/13,Lower Southern,Total_Influenza,56,241,23.24
2012-2013,201305,02/02/13,Lower Southern,RSV,28,113,24.78
2012-2013,201305,02/02/13,Northern,Influenza_A,79,292,27.05
2012-2013,201305,02/02/13,Northern,Influenza_B,9,292,3.08
2012-2013,201305,02/02/13,Northern,Total_Influenza,88,292,30.14
2012-2013,201305,02/02/13,Northern,RSV,82,292,28.08
2012-2013,201305,02/02/13,Upper Southern,Influenza_A,55,257,21.40
2012-2013,201305,02/02/13,Upper Southern,Influenza_B,15,257,5.84
2012-2013,201305,02/02/13,Upper Southern,Total_Influenza,70,257,27.24
2012-2013,201305,02/02/13,Upper Southern,RSV,26,257,10.12
2012-2013,201305,02/02/13,Upper/Lower Southern,Influenza_A,337,776,43.43
2012-2013,201305,02/02/13,Upper/Lower Southern,Influenza_B,111,776,14.30
2012-2013,201305,02/02/13,Upper/Lower Southern,Total_Influenza,448,776,57.73
2012-2013,201305,02/02/13,Upper/Lower Southern,RSV,115,776,14.82
2012-2013,201306,02/09/13,Bay Area,Influenza_A,258,1159,22.26
2012-2013,201306,02/09/13,Bay Area,Influenza_B,52,1159,4.49
2012-2013,201306,02/09/13,Bay Area,Total_Influenza,310,1159,26.75
2012-2013,201306,02/09/13,Bay Area,RSV,208,1166,17.84
2012-2013,201306,02/09/13,California,Influenza_A,770,3404,22.62
2012-2013,201306,02/09/13,California,Influenza_B,237,3404,6.96
2012-2013,201306,02/09/13,California,Total_Influenza,1007,3404,29.58
2012-2013,201306,02/09/13,California,RSV,531,3144,16.89
2012-2013,201306,02/09/13,Central,Influenza_A,158,689,22.93
2012-2013,201306,02/09/13,Central,Influenza_B,79,689,11.47
2012-2013,201306,02/09/13,Central,Total_Influenza,237,689,34.40
2012-2013,201306,02/09/13,Central,RSV,103,528,19.51
2012-2013,201306,02/09/13,Lower Southern,Influenza_A,23,249,9.24
2012-2013,201306,02/09/13,Lower Southern,Influenza_B,12,249,4.82
2012-2013,201306,02/09/13,Lower Southern,Total_Influenza,35,249,14.06
2012-2013,201306,02/09/13,Lower Southern,RSV,26,143,18.18
2012-2013,201306,02/09/13,Northern,Influenza_A,77,290,26.55
2012-2013,201306,02/09/13,Northern,Influenza_B,14,290,4.83
2012-2013,201306,02/09/13,Northern,Total_Influenza,91,290,31.38
2012-2013,201306,02/09/13,Northern,RSV,72,290,24.83
2012-2013,201306,02/09/13,Upper Southern,Influenza_A,23,195,11.79
2012-2013,201306,02/09/13,Upper Southern,Influenza_B,4,195,2.05
2012-2013,201306,02/09/13,Upper Southern,Total_Influenza,27,195,13.85
2012-2013,201306,02/09/13,Upper Southern,RSV,29,195,14.87
2012-2013,201306,02/09/13,Upper/Lower Southern,Influenza_A,231,822,28.10
2012-2013,201306,02/09/13,Upper/Lower Southern,Influenza_B,76,822,9.25
2012-2013,201306,02/09/13,Upper/Lower Southern,Total_Influenza,307,822,37.35
2012-2013,201306,02/09/13,Upper/Lower Southern,RSV,93,822,11.31
2012-2013,201307,02/16/13,Bay Area,Influenza_A,217,1122,19.34
2012-2013,201307,02/16/13,Bay Area,Influenza_B,45,1122,4.01
2012-2013,201307,02/16/13,Bay Area,Total_Influenza,262,1122,23.35
2012-2013,201307,02/16/13,Bay Area,RSV,183,1114,16.43
2012-2013,201307,02/16/13,California,Influenza_A,528,2996,17.62
2012-2013,201307,02/16/13,California,Influenza_B,217,2996,7.24
2012-2013,201307,02/16/13,California,Total_Influenza,745,2996,24.87
2012-2013,201307,02/16/13,California,RSV,479,2740,17.48
2012-2013,201307,02/16/13,Central,Influenza_A,92,584,15.75
2012-2013,201307,02/16/13,Central,Influenza_B,51,584,8.73
2012-2013,201307,02/16/13,Central,Total_Influenza,143,584,24.49
2012-2013,201307,02/16/13,Central,RSV,77,444,17.34
2012-2013,201307,02/16/13,Lower Southern,Influenza_A,16,217,7.37
2012-2013,201307,02/16/13,Lower Southern,Influenza_B,20,217,9.22
2012-2013,201307,02/16/13,Lower Southern,Total_Influenza,36,217,16.59
2012-2013,201307,02/16/13,Lower Southern,RSV,36,109,33.03
2012-2013,201307,02/16/13,Northern,Influenza_A,44,237,18.57
2012-2013,201307,02/16/13,Northern,Influenza_B,18,237,7.59
2012-2013,201307,02/16/13,Northern,Total_Influenza,62,237,26.16
2012-2013,201307,02/16/13,Northern,RSV,67,237,28.27
2012-2013,201307,02/16/13,Upper Southern,Influenza_A,23,188,12.23
2012-2013,201307,02/16/13,Upper Southern,Influenza_B,11,188,5.85
2012-2013,201307,02/16/13,Upper Southern,Total_Influenza,34,188,18.09
2012-2013,201307,02/16/13,Upper Southern,RSV,18,188,9.57
2012-2013,201307,02/16/13,Upper/Lower Southern,Influenza_A,136,648,20.99
2012-2013,201307,02/16/13,Upper/Lower Southern,Influenza_B,72,648,11.11
2012-2013,201307,02/16/13,Upper/Lower Southern,Total_Influenza,208,648,32.10
2012-2013,201307,02/16/13,Upper/Lower Southern,RSV,98,648,15.12
2012-2013,201308,02/23/13,Bay Area,Influenza_A,155,901,17.20
2012-2013,201308,02/23/13,Bay Area,Influenza_B,45,901,4.99
2012-2013,201308,02/23/13,Bay Area,Total_Influenza,200,901,22.20
2012-2013,201308,02/23/13,Bay Area,RSV,128,902,14.19
2012-2013,201308,02/23/13,California,Influenza_A,392,2525,15.52
2012-2013,201308,02/23/13,California,Influenza_B,226,2525,8.95
2012-2013,201308,02/23/13,California,Total_Influenza,618,2525,24.48
2012-2013,201308,02/23/13,California,RSV,369,2269,16.26
2012-2013,201308,02/23/13,Central,Influenza_A,90,557,16.16
2012-2013,201308,02/23/13,Central,Influenza_B,75,557,13.46
2012-2013,201308,02/23/13,Central,Total_Influenza,165,557,29.62
2012-2013,201308,02/23/13,Central,RSV,59,399,14.79
2012-2013,201308,02/23/13,Lower Southern,Influenza_A,14,184,7.61
2012-2013,201308,02/23/13,Lower Southern,Influenza_B,15,184,8.15
2012-2013,201308,02/23/13,Lower Southern,Total_Influenza,29,184,15.76
2012-2013,201308,02/23/13,Lower Southern,RSV,22,85,25.88
2012-2013,201308,02/23/13,Northern,Influenza_A,38,238,15.97
2012-2013,201308,02/23/13,Northern,Influenza_B,17,238,7.14
2012-2013,201308,02/23/13,Northern,Total_Influenza,55,238,23.11
2012-2013,201308,02/23/13,Northern,RSV,70,238,29.41
2012-2013,201308,02/23/13,Upper Southern,Influenza_A,16,173,9.25
2012-2013,201308,02/23/13,Upper Southern,Influenza_B,7,173,4.05
2012-2013,201308,02/23/13,Upper Southern,Total_Influenza,23,173,13.29
2012-2013,201308,02/23/13,Upper Southern,RSV,15,173,8.67
2012-2013,201308,02/23/13,Upper/Lower Southern,Influenza_A,79,472,16.74
2012-2013,201308,02/23/13,Upper/Lower Southern,Influenza_B,67,472,14.19
2012-2013,201308,02/23/13,Upper/Lower Southern,Total_Influenza,146,472,30.93
2012-2013,201308,02/23/13,Upper/Lower Southern,RSV,75,472,15.89
2012-2013,201309,03/02/13,Bay Area,Influenza_A,129,947,13.62
2012-2013,201309,03/02/13,Bay Area,Influenza_B,57,947,6.02
2012-2013,201309,03/02/13,Bay Area,Total_Influenza,186,947,19.64
2012-2013,201309,03/02/13,Bay Area,RSV,127,941,13.50
2012-2013,201309,03/02/13,California,Influenza_A,307,2494,12.31
2012-2013,201309,03/02/13,California,Influenza_B,227,2494,9.10
2012-2013,201309,03/02/13,California,Total_Influenza,534,2494,21.41
2012-2013,201309,03/02/13,California,RSV,308,2212,13.92
2012-2013,201309,03/02/13,Central,Influenza_A,53,488,10.86
2012-2013,201309,03/02/13,Central,Influenza_B,76,488,15.57
2012-2013,201309,03/02/13,Central,Total_Influenza,129,488,26.43
2012-2013,201309,03/02/13,Central,RSV,46,311,14.79
2012-2013,201309,03/02/13,Lower Southern,Influenza_A,12,193,6.22
2012-2013,201309,03/02/13,Lower Southern,Influenza_B,12,193,6.22
2012-2013,201309,03/02/13,Lower Southern,Total_Influenza,24,193,12.44
2012-2013,201309,03/02/13,Lower Southern,RSV,19,94,20.21
2012-2013,201309,03/02/13,Northern,Influenza_A,46,236,19.49
2012-2013,201309,03/02/13,Northern,Influenza_B,18,236,7.63
2012-2013,201309,03/02/13,Northern,Total_Influenza,64,236,27.12
2012-2013,201309,03/02/13,Northern,RSV,55,236,23.31
2012-2013,201309,03/02/13,Upper Southern,Influenza_A,15,188,7.98
2012-2013,201309,03/02/13,Upper Southern,Influenza_B,10,188,5.32
2012-2013,201309,03/02/13,Upper Southern,Total_Influenza,25,188,13.30
2012-2013,201309,03/02/13,Upper Southern,RSV,17,188,9.04
2012-2013,201309,03/02/13,Upper/Lower Southern,Influenza_A,52,442,11.76
2012-2013,201309,03/02/13,Upper/Lower Southern,Influenza_B,54,442,12.22
2012-2013,201309,03/02/13,Upper/Lower Southern,Total_Influenza,106,442,23.98
2012-2013,201309,03/02/13,Upper/Lower Southern,RSV,44,442,9.95
2012-2013,201310,03/09/13,Bay Area,Influenza_A,97,637,15.23
2012-2013,201310,03/09/13,Bay Area,Influenza_B,55,637,8.63
2012-2013,201310,03/09/13,Bay Area,Total_Influenza,152,637,23.86
2012-2013,201310,03/09/13,Bay Area,RSV,84,633,13.27
2012-2013,201310,03/09/13,California,Influenza_A,218,1806,12.07
2012-2013,201310,03/09/13,California,Influenza_B,241,1806,13.34
2012-2013,201310,03/09/13,California,Total_Influenza,459,1806,25.42
2012-2013,201310,03/09/13,California,RSV,222,1588,13.98
2012-2013,201310,03/09/13,Central,Influenza_A,32,376,8.51
2012-2013,201310,03/09/13,Central,Influenza_B,64,376,17.02
2012-2013,201310,03/09/13,Central,Total_Influenza,96,376,25.53
2012-2013,201310,03/09/13,Central,RSV,26,240,10.83
2012-2013,201310,03/09/13,Lower Southern,Influenza_A,11,142,7.75
2012-2013,201310,03/09/13,Lower Southern,Influenza_B,10,142,7.04
2012-2013,201310,03/09/13,Lower Southern,Total_Influenza,21,142,14.79
2012-2013,201310,03/09/13,Lower Southern,RSV,14,64,21.88
2012-2013,201310,03/09/13,Northern,Influenza_A,26,113,23.01
2012-2013,201310,03/09/13,Northern,Influenza_B,29,113,25.66
2012-2013,201310,03/09/13,Northern,Total_Influenza,55,113,48.67
2012-2013,201310,03/09/13,Northern,RSV,40,113,35.40
2012-2013,201310,03/09/13,Upper Southern,Influenza_A,7,126,5.56
2012-2013,201310,03/09/13,Upper Southern,Influenza_B,6,126,4.76
2012-2013,201310,03/09/13,Upper Southern,Total_Influenza,13,126,10.32
2012-2013,201310,03/09/13,Upper Southern,RSV,3,126,2.38
2012-2013,201310,03/09/13,Upper/Lower Southern,Influenza_A,45,412,10.92
2012-2013,201310,03/09/13,Upper/Lower Southern,Influenza_B,77,412,18.69
2012-2013,201310,03/09/13,Upper/Lower Southern,Total_Influenza,122,412,29.61
2012-2013,201310,03/09/13,Upper/Lower Southern,RSV,55,412,13.35
2012-2013,201311,03/16/13,Bay Area,Influenza_A,56,703,7.97
2012-2013,201311,03/16/13,Bay Area,Influenza_B,48,703,6.83
2012-2013,201311,03/16/13,Bay Area,Total_Influenza,104,703,14.79
2012-2013,201311,03/16/13,Bay Area,RSV,77,703,10.95
2012-2013,201311,03/16/13,California,Influenza_A,112,1901,5.89
2012-2013,201311,03/16/13,California,Influenza_B,196,1901,10.31
2012-2013,201311,03/16/13,California,Total_Influenza,308,1901,16.20
2012-2013,201311,03/16/13,California,RSV,184,1683,10.93
2012-2013,201311,03/16/13,Central,Influenza_A,19,444,4.28
2012-2013,201311,03/16/13,Central,Influenza_B,64,444,14.41
2012-2013,201311,03/16/13,Central,Total_Influenza,83,444,18.69
2012-2013,201311,03/16/13,Central,RSV,29,297,9.76
2012-2013,201311,03/16/13,Lower Southern,Influenza_A,4,144,2.78
2012-2013,201311,03/16/13,Lower Southern,Influenza_B,10,144,6.94
2012-2013,201311,03/16/13,Lower Southern,Total_Influenza,14,144,9.72
2012-2013,201311,03/16/13,Lower Southern,RSV,13,73,17.81
2012-2013,201311,03/16/13,Northern,Influenza_A,13,161,8.07
2012-2013,201311,03/16/13,Northern,Influenza_B,18,161,11.18
2012-2013,201311,03/16/13,Northern,Total_Influenza,31,161,19.25
2012-2013,201311,03/16/13,Northern,RSV,26,161,16.15
2012-2013,201311,03/16/13,Upper Southern,Influenza_A,4,137,2.92
2012-2013,201311,03/16/13,Upper Southern,Influenza_B,7,137,5.11
2012-2013,201311,03/16/13,Upper Southern,Total_Influenza,11,137,8.03
2012-2013,201311,03/16/13,Upper Southern,RSV,5,137,3.65
2012-2013,201311,03/16/13,Upper/Lower Southern,Influenza_A,16,312,5.13
2012-2013,201311,03/16/13,Upper/Lower Southern,Influenza_B,49,312,15.71
2012-2013,201311,03/16/13,Upper/Lower Southern,Total_Influenza,65,312,20.83
2012-2013,201311,03/16/13,Upper/Lower Southern,RSV,34,312,10.90
2012-2013,201312,03/23/13,Bay Area,Influenza_A,28,567,4.94
2012-2013,201312,03/23/13,Bay Area,Influenza_B,36,567,6.35
2012-2013,201312,03/23/13,Bay Area,Total_Influenza,64,567,11.29
2012-2013,201312,03/23/13,Bay Area,RSV,60,558,10.75
2012-2013,201312,03/23/13,California,Influenza_A,59,1471,4.01
2012-2013,201312,03/23/13,California,Influenza_B,119,1471,8.09
2012-2013,201312,03/23/13,California,Total_Influenza,178,1471,12.10
2012-2013,201312,03/23/13,California,RSV,124,1319,9.40
2012-2013,201312,03/23/13,Central,Influenza_A,12,340,3.53
2012-2013,201312,03/23/13,Central,Influenza_B,35,340,10.29
2012-2013,201312,03/23/13,Central,Total_Influenza,47,340,13.82
2012-2013,201312,03/23/13,Central,RSV,13,220,5.91
2012-2013,201312,03/23/13,Lower Southern,Influenza_A,1,88,1.14
2012-2013,201312,03/23/13,Lower Southern,Influenza_B,3,88,3.41
2012-2013,201312,03/23/13,Lower Southern,Total_Influenza,4,88,4.55
2012-2013,201312,03/23/13,Lower Southern,RSV,9,65,13.85
2012-2013,201312,03/23/13,Northern,Influenza_A,2,88,2.27
2012-2013,201312,03/23/13,Northern,Influenza_B,11,88,12.50
2012-2013,201312,03/23/13,Northern,Total_Influenza,13,88,14.77
2012-2013,201312,03/23/13,Northern,RSV,12,88,13.64
2012-2013,201312,03/23/13,Upper Southern,Influenza_A,2,119,1.68
2012-2013,201312,03/23/13,Upper Southern,Influenza_B,6,119,5.04
2012-2013,201312,03/23/13,Upper Southern,Total_Influenza,8,119,6.72
2012-2013,201312,03/23/13,Upper Southern,RSV,4,119,3.36
2012-2013,201312,03/23/13,Upper/Lower Southern,Influenza_A,14,269,5.20
2012-2013,201312,03/23/13,Upper/Lower Southern,Influenza_B,28,269,10.41
2012-2013,201312,03/23/13,Upper/Lower Southern,Total_Influenza,42,269,15.61
2012-2013,201312,03/23/13,Upper/Lower Southern,RSV,26,269,9.67
2012-2013,201313,03/30/13,Bay Area,Influenza_A,15,485,3.09
2012-2013,201313,03/30/13,Bay Area,Influenza_B,19,485,3.92
2012-2013,201313,03/30/13,Bay Area,Total_Influenza,34,485,7.01
2012-2013,201313,03/30/13,Bay Area,RSV,29,476,6.09
2012-2013,201313,03/30/13,California,Influenza_A,23,1001,2.30
2012-2013,201313,03/30/13,California,Influenza_B,50,1001,5.00
2012-2013,201313,03/30/13,California,Total_Influenza,73,1001,7.29
2012-2013,201313,03/30/13,California,RSV,62,890,6.97
2012-2013,201313,03/30/13,Central,Influenza_A,3,247,1.21
2012-2013,201313,03/30/13,Central,Influenza_B,16,247,6.48
2012-2013,201313,03/30/13,Central,Total_Influenza,19,247,7.69
2012-2013,201313,03/30/13,Central,RSV,15,176,8.52
2012-2013,201313,03/30/13,Lower Southern,Influenza_A,0,83,0.00
2012-2013,201313,03/30/13,Lower Southern,Influenza_B,0,83,0.00
2012-2013,201313,03/30/13,Lower Southern,Total_Influenza,0,83,0.00
2012-2013,201313,03/30/13,Lower Southern,RSV,10,52,19.23
2012-2013,201313,03/30/13,Northern,Influenza_A,5,81,6.17
2012-2013,201313,03/30/13,Northern,Influenza_B,12,81,14.81
2012-2013,201313,03/30/13,Northern,Total_Influenza,17,81,20.99
2012-2013,201313,03/30/13,Northern,RSV,6,81,7.41
2012-2013,201313,03/30/13,Upper Southern,Influenza_A,0,105,0.00
2012-2013,201313,03/30/13,Upper Southern,Influenza_B,3,105,2.86
2012-2013,201313,03/30/13,Upper Southern,Total_Influenza,3,105,2.86
2012-2013,201313,03/30/13,Upper Southern,RSV,2,105,1.90
2012-2013,201313,03/30/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201313,03/30/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201313,03/30/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201313,03/30/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201314,04/06/13,Bay Area,Influenza_A,3,459,0.65
2012-2013,201314,04/06/13,Bay Area,Influenza_B,17,459,3.70
2012-2013,201314,04/06/13,Bay Area,Total_Influenza,20,459,4.36
2012-2013,201314,04/06/13,Bay Area,RSV,32,454,7.05
2012-2013,201314,04/06/13,California,Influenza_A,11,1120,0.98
2012-2013,201314,04/06/13,California,Influenza_B,47,1120,4.20
2012-2013,201314,04/06/13,California,Total_Influenza,58,1120,5.18
2012-2013,201314,04/06/13,California,RSV,73,1071,6.82
